iter	MultiClass
0	2.935905774
1	2.927630591
2	2.91939048
3	2.911367132
4	2.903106707
5	2.895287314
6	2.887490861
7	2.879649259
8	2.872038484
9	2.86431996
10	2.856859621
11	2.849468597
12	2.842065607
13	2.834694906
14	2.827623934
15	2.82058666
16	2.813544191
17	2.806609963
18	2.799866461
19	2.793008308
20	2.786300577
21	2.779500818
22	2.773017158
23	2.766503405
24	2.759968536
25	2.753458197
26	2.746945251
27	2.740605171
28	2.73421124
29	2.72795252
30	2.721845844
31	2.715870312
32	2.70982186
33	2.703809948
34	2.697810738
35	2.691927483
36	2.686074798
37	2.680211838
38	2.674424898
39	2.668642948
40	2.66303281
41	2.657406085
42	2.651848615
43	2.646291936
44	2.64086914
45	2.635480039
46	2.630018045
47	2.624749833
48	2.619522967
49	2.614282756
50	2.609056407
51	2.603892764
52	2.598635159
53	2.59351903
54	2.588492106
55	2.583488617
56	2.578492917
57	2.573480865
58	2.568641865
59	2.563631861
60	2.558902526
61	2.554076385
62	2.549397113
63	2.544667364
64	2.539968143
65	2.535302497
66	2.530700762
67	2.526055729
68	2.521508671
69	2.516923083
70	2.512474272
71	2.508115114
72	2.503561458
73	2.499128903
74	2.494709004
75	2.490331641
76	2.485973713
77	2.481707946
78	2.477306001
79	2.473024188
80	2.468673067
81	2.46449076
82	2.460273702
83	2.456108803
84	2.451984347
85	2.447933442
86	2.443903011
87	2.439801703
88	2.435755697
89	2.431776522
90	2.427833417
91	2.423873277
92	2.419830985
93	2.41581419
94	2.411890833
95	2.408000892
96	2.404087571
97	2.400214823
98	2.396449274
99	2.392561159
100	2.388840144
101	2.385027805
102	2.381240636
103	2.377549074
104	2.373876056
105	2.370249083
106	2.366659551
107	2.363023299
108	2.359437039
109	2.355833623
110	2.352181824
111	2.34869062
112	2.3452384
113	2.341708381
114	2.338189396
115	2.334580315
116	2.330973268
117	2.327548146
118	2.324158857
119	2.32064614
120	2.317098309
121	2.313667384
122	2.310373314
123	2.30699751
124	2.303748001
125	2.300430713
126	2.297044103
127	2.293800347
128	2.290615579
129	2.287393813
130	2.284210581
131	2.281007519
132	2.277750772
133	2.274473845
134	2.271333532
135	2.268138429
136	2.265024178
137	2.261900425
138	2.258804619
139	2.255760116
140	2.252642382
141	2.249509823
142	2.246422958
143	2.243327224
144	2.240336698
145	2.237271812
146	2.234323073
147	2.23126118
148	2.228228853
149	2.225211222
150	2.222212466
151	2.219255761
152	2.21641529
153	2.213419834
154	2.210500341
155	2.207535793
156	2.204696901
157	2.201853309
158	2.199003858
159	2.196244313
160	2.193431517
161	2.190683808
162	2.187810159
163	2.185020334
164	2.182266101
165	2.179502909
166	2.176767729
167	2.174098428
168	2.171417395
169	2.168708676
170	2.165855866
171	2.163122281
172	2.160405982
173	2.157715333
174	2.155070974
175	2.152406005
176	2.149694689
177	2.147128645
178	2.144522305
179	2.141908982
180	2.139303972
181	2.136659433
182	2.134121909
183	2.131495501
184	2.128934611
185	2.126369833
186	2.123779287
187	2.121272279
188	2.118774411
189	2.116289284
190	2.11369508
191	2.11123055
192	2.108713987
193	2.106281415
194	2.103706632
195	2.101324856
196	2.098859151
197	2.0963656
198	2.093845116
199	2.091445585
200	2.089024619
201	2.086706881
202	2.084371997
203	2.082021263
204	2.079662793
205	2.07727508
206	2.074864801
207	2.072580885
208	2.07019202
209	2.067825266
210	2.065525141
211	2.063193413
212	2.060947211
213	2.058680428
214	2.056425736
215	2.054162117
216	2.051812047
217	2.049479142
218	2.047251927
219	2.044966178
220	2.042763191
221	2.040631378
222	2.038458237
223	2.036160388
224	2.033908714
225	2.031609554
226	2.029487722
227	2.027302484
